City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Atar,MR,68.81,overcast clouds,20.5169,-13.0499,Oumou Elghoura
200,Jalalabad,AF,54.63,overcast clouds,34.4265,70.4515,انصاف چهاردهي هوټل
202,Kilindoni,TZ,81.14,scattered clouds,-7.9139,39.6668,Bustani B&B
203,Flinders,AU,72.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
204,Sorland,NO,26.6,clear sky,67.667,12.6934,Sjybrygga fiskecamp
205,Chekhov,RU,25.09,light snow,55.1431,37.4711,Domik v derevne
206,Nouadhibou,MR,67.98,overcast clouds,20.931,-17.0347,El Medina
207,General Cepeda,MX,76.41,overcast clouds,25.3833,-101.45,Hacienda Los Jose
208,Indianola,US,24.66,clear sky,41.3581,-93.5574,Quality Inn Indianola
209,San Patricio,US,72.01,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
210,Gopalpur,IN,73.87,clear sky,19.2667,84.9167,Gopalpur Palm Resort
212,Airai,TL,62.2,overcast clouds,-8.9266,125.4092,Juvinal Martin
214,Birpur,IN,66.42,clear sky,26.5167,87.0167,Maa Sherawali Sweet Content
215,Hasaki,JP,48.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
216,Grezzana,IT,37.99,clear sky,45.5203,11.0177,Residenza Borgo 27
217,Port-Gentil,GA,78.35,overcast clouds,-0.7193,8.7815,Fengshui Residence
218,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
219,Gornyy,RU,27.79,snow,55.1153,83.9059,Gostinyy Dvor
220,Adolfo Lopez Mateos,MX,63.93,clear sky,28.4667,-107.3,Hotel Victor Inn
222,Camacha,PT,62.02,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
225,Bani Walid,LY,50.58,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
226,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
227,Kokkola,FI,12.92,few clouds,63.8385,23.1307,Hotel Kokkola
228,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
229,Kang,BW,77.02,broken clouds,-23.6752,22.7876,Kang Ultra Stop
230,Nikolskoye,RU,5.02,light snow,59.7035,30.7861,Tourist House - Sablino
231,Siderno,IT,51.84,scattered clouds,38.2779,16.302,Grand Hotel President
232,Mantua,IT,39.81,clear sky,45.1667,10.7833,Hotel la Favorita
234,Hervey Bay,AU,77.11,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
235,Havre-Saint-Pierre,CA,28.4,snow,50.2334,-63.5986,Auberge Niapiskau
236,Puerto Baquerizo Moreno,EC,74.39,broken clouds,-0.9,-89.6,Hotel los Algarrobos
238,Sawakin,SD,81.99,clear sky,19.1059,37.3321,فندق الدويم
239,Khilok,RU,11.32,few clouds,51.3674,110.4676,"Gostevoy Dom ""Magnit"""
241,Namatanai,PG,80.65,light rain,-3.6667,152.4333,Seagulls Inn Namatani
242,Ostersund,SE,7.25,broken clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
244,Black River,JM,84.2,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
245,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
246,Hofn,IS,37.98,overcast clouds,64.2539,-15.2082,Hótel Höfn
247,Bonthe,SL,80.55,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
248,Lively,CA,32.81,light snow,46.4334,-81.1498,Lively Inn and Suites - Sudbury
249,Iralaya,HN,84.29,clear sky,15.0,-83.2333,Iglesia morava renovada
250,Barnova,RO,36.95,light intensity drizzle,47.0667,27.6167,Bucium Motel and Spa
252,Solnechnyy,RU,9.41,scattered clouds,50.7214,136.6319,Hotel complex Pastoral
254,Cervo,ES,55.53,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
255,Port Elizabeth,ZA,62.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
257,Chengam,IN,71.62,broken clouds,12.3,78.8,C.T.S.Lodge
258,Roma,US,45.52,moderate rain,43.2128,-75.4557,Wingate By Wyndham Rome
259,Cascais,PT,58.46,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
260,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
261,Ancud,CL,68.86,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
262,Celestun,MX,79.95,clear sky,20.8667,-90.4,Posada Lilia
263,Santa Clara,CU,85.66,scattered clouds,22.4,-79.9667,El Carmen
264,Paro,BT,39.83,scattered clouds,27.4305,89.4133,Metta Resort and Spa
265,Pacifica,US,60.3,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
266,Bikaner,IN,62.51,clear sky,28.0167,73.3,Karina Guest House
267,Stromness,GB,40.96,few clouds,58.965,-3.296,The Old Smokery
268,Frontignan,FR,52.0,overcast clouds,43.4485,3.754,Domain Selhac: Cottages in Frontignan
269,Vao,NC,77.83,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
270,Sooke,CA,43.07,overcast clouds,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
271,Cutro,IT,43.86,broken clouds,39.0353,16.9819,Gallella Viaggi - Agenzia Viaggi e Turismo
272,Codrington,AU,57.09,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
273,Tynset,NO,1.02,overcast clouds,62.2759,10.7824,Tynset Rooms & Camping
274,Lata,PT,58.05,overcast clouds,40.1629,-8.3327,Casa Maquia
275,Ulaangom,MN,4.41,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
276,Limon,CR,84.09,clear sky,10.0,-83.0333,Hotel Playa Bonita
277,Champerico,GT,89.76,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
278,Kavieng,PG,82.33,moderate rain,-2.5744,150.7967,Nusa Island Retreat
280,Itacarambi,BR,73.38,moderate rain,-15.1022,-44.0919,POUSADA CAMALEÃO
281,Shelburne,CA,31.57,light snow,44.0787,-80.2041,The Retreat at the Farm
285,Tongeren,BE,39.94,light rain,50.7805,5.4648,Eburon Hotel - Different Hotels
286,Kreminna,UA,37.56,overcast clouds,49.0495,38.2179,"ОЗЕРНЫЙ, САНАТОРИЙ"
287,Tateyama,JP,55.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
288,Constitucion,CL,60.82,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
289,Carballo,ES,56.01,overcast clouds,43.213,-8.691,Pazo do Souto
290,Kudahuvadhoo,MV,81.25,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
291,Takoradi,GH,80.65,overcast clouds,4.8845,-1.7554,Raybow International Hotel
292,Williston,US,12.61,overcast clouds,48.147,-103.618,Hampton Inn & Suites Williston
293,Laguna,US,55.24,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
295,Careiro Da Varzea,BR,79.43,moderate rain,-3.2003,-59.8119,POUSADA DA ALDENORA
296,Tupiza,BO,60.24,light rain,-21.45,-65.7167,La Torre Hotel
297,Emirdag,TR,46.17,clear sky,39.0197,31.15,Emirdağ Öğretmenevi
298,Lompoc,US,71.22,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
299,Berkovica,BA,35.91,light rain,44.6156,18.4294,Đokina čeka
300,Lazaro Cardenas,MX,84.16,clear sky,17.9583,-102.2,quinta antigua
301,Valparaiso,CL,62.47,clear sky,-33.0393,-71.6273,Hotel Ultramar
302,Olafsvik,IS,35.64,moderate rain,64.8945,-23.7142,Hotel Olafsvik
303,Mali,GN,63.72,scattered clouds,12.079,-12.2982,Hotel La Dame de Mali
304,Canico,PT,65.48,broken clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
305,Pombas,CV,71.38,clear sky,17.1503,-25.0201,Paul Paradis
306,Pacific Grove,US,64.42,broken clouds,36.6177,-121.9166,Lovers Point Inn
307,Hukuntsi,BW,76.89,clear sky,-24.0,21.75,Entabeni Hotel
309,Irbit,RU,4.91,few clouds,57.6705,63.071,Nitsa
310,Husavik,IS,31.91,broken clouds,66.0449,-17.3389,Bjarnabúð
311,Manavalakurichi,IN,78.89,few clouds,8.1333,77.3,Muttom beach west
312,George,ZA,60.08,overcast clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
313,Sept-Iles,CA,28.06,snow,50.2001,-66.3821,Comfort Inn
314,Westport,US,58.55,overcast clouds,41.1415,-73.3579,Norwalk Inn
315,Aklavik,CA,16.52,broken clouds,68.2191,-135.0107,Aklavik Inn
316,Vanimo,PG,79.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
320,Kuryk,KZ,45.39,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
321,Barcelos,PT,57.34,overcast clouds,41.5388,-8.6151,Hotel Do Terço
322,Anapskaya,RU,53.83,few clouds,44.89,37.38,Continent Hotel
323,Bubaque,GW,81.63,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
324,Ambovombe,MG,77.49,clear sky,-25.1667,46.0833,RELAHARA
325,Parrita,CR,87.57,broken clouds,9.5201,-84.3225,Beso del Viento
327,Bath,GB,42.76,clear sky,51.3779,-2.3591,Francis Hotel Bath - MGallery
328,Quelimane,MZ,82.35,clear sky,-17.8786,36.8883,Hotel Flamingo
329,Sidney,AU,73.26,broken clouds,-33.8679,151.2073,The Grace Sydney
330,Pingliang,CN,34.2,overcast clouds,35.5392,106.6861,North Gate Hostel
331,Alofi,NU,78.69,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
333,Kokopo,PG,80.37,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
334,Tromso,NO,15.82,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
335,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
337,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
340,Mayo,US,70.25,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
341,Prieska,ZA,69.67,clear sky,-29.6641,22.7474,Avenue GuestHouse
343,Imbituba,BR,71.82,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
344,Sorong,ID,82.36,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
345,Torbay,CA,33.67,overcast clouds,47.6666,-52.7314,Gallows Cove
346,Bucerias,MX,80.58,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
347,Ovre Ardal,NO,10.81,overcast clouds,61.3167,7.8,Sitla Motel & Apartment
348,Coquimbo,CL,62.4,clear sky,-29.9533,-71.3436,Punto de encuentro
349,Zhangye,CN,24.28,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
350,Banda Aceh,ID,78.35,light rain,5.5577,95.3222,Sulthan Hotel International
351,Khorramshahr,IR,57.16,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
352,Shetpe,KZ,40.51,few clouds,44.1667,52.1167,Rtsm Shetpe Analog
353,Lorengau,PG,83.88,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
355,Nelspruit,ZA,73.69,overcast clouds,-25.4745,30.9703,Leaves Lodge and Spa
356,Asyut,EG,60.37,overcast clouds,27.181,31.1837,Florence Hotel Assiut
358,Marsh Harbour,BS,77.85,clear sky,26.5412,-77.0636,Abaco Beach Resort
359,Burgeo,CA,37.2,overcast clouds,47.6167,-57.6152,Gillett's Motel
360,Puerto Del Rosario,ES,64.15,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
361,Vestmannaeyjar,IS,38.23,light rain,63.4427,-20.2734,Glamping & Camping
362,Coro,VE,81.03,scattered clouds,11.4045,-69.6734,Federal
363,Dubbo,AU,71.73,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
364,Katherine,AU,84.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
365,Valley City,US,4.19,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
366,Iranshahr,IR,61.21,clear sky,27.2025,60.6848,نیک سرشت
367,Mezen,RU,15.57,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
368,Isangel,VU,83.59,clear sky,-19.55,169.2667,Tanna Lodge
369,Guadalupe Y Calvo,MX,57.47,broken clouds,26.1,-106.9667,Hotel Pizarro
370,Hambantota,LK,76.39,scattered clouds,6.1241,81.1185,Bungalow 63
371,Elat,IL,62.44,clear sky,29.5581,34.9482,Club Hotel Eilat
372,Soma,TR,60.21,overcast clouds,39.1855,27.6094,Hotel Labella
