City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
395,Nicoya,CR,10.1483,-85.452,87.35,71,68,6.76
396,Tocopilla,CL,-22.092,-70.1979,69.3,70,97,11.99
397,Bambui,BR,-20.0064,-45.9769,70.2,86,9,2.91
398,Kruisfontein,ZA,-34.0033,24.7314,60.89,93,81,5.46
399,Pisco,PE,-13.7,-76.2167,69.85,73,0,13.8
400,Pimentel,PE,-6.8367,-79.9342,70.09,73,0,21.85
401,Otradnoye,RU,59.7775,30.8181,5.09,96,100,3.98
402,Viedma,AR,-40.8135,-62.9967,86.2,19,0,15.93
403,Nome,US,64.5011,-165.4064,24.87,86,90,18.41
404,Jambi,ID,-1.6,103.6167,73.54,98,100,3.27
